,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
1468,Talen Horton-Tucker,196,44,4209,719,1670,148,529,571,1141,328,426,105,474,579,592,171,80,319,393,1914
1469,Tari Eason,82,5,1767,296,660,59,172,237,488,109,145,195,301,496,88,96,47,101,189,760
1470,Tarik Black,283,96,4515,596,1071,2,15,594,1056,260,453,535,864,1399,152,102,140,211,674,1454
1471,Tariq Owens,3,0,15,1,5,0,2,1,3,2,2,2,1,3,0,1,0,0,1,4
1472,Taurean Prince,465,232,11033,1685,4016,762,2038,923,1978,649,790,226,1490,1716,807,369,197,695,953,4781
1473,Taylor Griffin,8,0,32,4,10,0,2,4,8,2,4,0,2,2,1,0,2,1,4,10
1474,Tayshaun Prince,623,504,17779,2465,5544,260,689,2205,4855,614,850,533,1854,2387,1299,320,209,532,651,5804
1475,Terance Mann,270,85,5814,821,1643,198,517,623,1126,316,403,247,751,998,550,137,61,222,499,2156
1476,Terence Davis,288,28,4734,856,1979,428,1168,428,811,211,256,121,657,778,388,195,65,288,492,2351
1477,Terrance Ferguson,204,124,4000,334,827,195,583,139,244,61,81,75,188,263,144,92,43,93,476,924
1478,Terrel Harris,62,1,592,37,137,8,55,29,82,28,41,26,77,103,44,13,8,59,68,110
1479,Terrence Jones,288,130,6832,1216,2460,112,388,1104,2072,471,763,460,1180,1640,297,186,324,267,459,3015
1480,Terrence Ross,874,220,21241,3466,8243,1566,4322,1900,3921,929,1112,296,2125,2421,1119,709,274,811,1470,9427
1481,Terrence Williams,204,9,3762,565,1374,80,251,485,1123,194,299,84,614,698,467,112,26,298,259,1404
1482,Terry Rozier,540,298,14659,2673,6413,1116,3037,1557,3376,906,1106,363,1762,2125,1828,515,129,713,799,7368
1483,Terry Taylor,95,11,1242,213,370,22,76,191,294,48,73,149,117,266,61,20,20,41,113,496
1484,Thabo Sefolosha,663,413,15305,1475,3231,445,1252,1030,1979,490,665,487,2115,2602,896,766,280,538,1086,3885
1485,Thaddeus Young,1118,696,31718,5931,11884,514,1566,5417,10318,1350,2085,2198,4243,6441,2211,1594,465,1613,2398,13726
1486,Thanasis Antetokounmpo,164,11,1365,184,363,9,62,175,301,72,134,121,173,294,98,48,27,93,184,449
1487,Theo Pinson,127,1,1081,116,363,59,226,57,137,55,61,26,153,179,141,34,7,69,100,346
1488,Theo Ratliff,108,58,1685,141,310,0,0,141,310,76,102,124,203,327,53,26,127,85,181,358
1489,Thomas Bryant,288,160,5587,1156,1918,144,381,1012,1537,435,578,430,1219,1649,281,93,207,221,513,2891
1490,Thomas Robinson,437,16,6058,904,1942,0,9,904,1933,361,706,759,1366,2125,269,234,157,466,774,2169
1491,Thomas Welsh,11,0,36,7,13,3,7,4,6,1,2,0,4,4,5,0,0,1,3,18
1492,Thon Maker,327,70,4596,534,1244,179,550,355,694,292,431,259,669,928,206,117,224,175,565,1539
1493,Théo Maledon,160,63,3540,447,1185,177,558,270,627,243,309,59,406,465,490,124,34,265,254,1314
1494,Tiago Splitter,355,153,6812,1073,1932,2,14,1071,1918,668,958,576,1203,1779,423,198,209,384,685,2816
1495,Tibor Pleiß,12,0,82,11,25,0,2,11,23,2,2,6,9,15,2,1,2,8,19,24
1496,Tim Duncan*,493,491,14227,2909,5795,6,40,2903,5755,1426,1938,1067,3477,4544,1378,336,902,886,910,7250
1497,Tim Frazier,422,111,7396,762,1882,195,588,567,1294,360,505,217,762,979,1646,267,34,560,755,2079
1498,Tim Hardaway Jr.,722,396,20046,3582,8595,1627,4531,1955,4064,1551,1909,250,1873,2123,1383,469,103,787,1249,10342
1499,Tim Ohlbrecht,3,0,12,1,3,0,0,1,3,1,1,0,1,1,1,1,0,4,1,3
1500,Tim Quarterman,19,0,93,14,32,5,15,9,17,2,5,4,13,17,12,2,3,13,7,35
1501,Tim Thomas,18,1,285,49,106,16,43,33,63,21,24,13,28,41,14,10,2,14,31,135
1502,Timofey Mozgov,580,367,10750,1607,3000,13,64,1594,2936,793,1082,1018,1919,2937,320,187,505,678,1309,4020
1503,Timothé Luwawu-Cabarrot,378,67,5923,730,1875,356,1072,374,803,352,428,135,618,753,319,151,50,253,678,2168
1504,Tobias Harris,1120,977,35381,6952,14613,1580,4236,5372,10377,2763,3326,1121,5842,6963,2573,844,592,1596,2294,18247
1505,Tomáš Satoranský,443,195,9523,1069,2323,248,723,821,1600,488,597,339,904,1243,1770,338,65,559,729,2874
1506,Toney Douglas,516,82,9475,1354,3361,557,1574,797,1787,480,578,265,835,1100,1108,439,38,525,1001,3745
1507,Tony Allen,538,367,12750,1836,3854,70,262,1766,3592,819,1199,813,1343,2156,710,866,239,713,1312,4561
1508,Tony Battie,80,11,806,78,187,3,8,75,179,19,28,29,160,189,31,13,23,19,104,178
1509,Tony Bradley,221,26,2678,477,745,6,15,471,730,132,193,362,606,968,127,57,129,134,308,1092
1510,Tony Mitchell,24,0,89,8,17,1,2,7,15,11,19,16,11,27,3,7,3,4,9,28
1511,Tony Parker,642,546,17944,3716,7546,209,611,3507,6935,1613,2062,156,1337,1493,3581,447,54,1332,903,9254
1512,Tony Snell,654,322,13915,1404,3268,773,1976,631,1292,278,328,188,1286,1474,697,282,147,348,916,3859
1513,Tony Wroten,145,34,3076,575,1393,84,363,491,1030,370,572,106,257,363,437,137,28,375,268,1604
1514,Tornike Shengelia,71,0,401,36,79,1,14,35,65,15,32,17,38,55,31,9,3,35,47,88
1515,Torrey Craig,507,177,9950,1192,2604,455,1317,737,1287,237,334,623,1396,2019,541,270,283,346,1020,3076
1516,Toure' Murry,61,0,409,60,139,5,12,55,127,27,43,15,31,46,51,21,1,42,50,152
1517,Tracy McGrady*,184,87,3869,510,1215,77,249,433,966,240,338,116,477,593,560,112,77,243,216,1337
1518,Trae Young,353,353,11941,2866,6551,884,2517,1982,4034,2374,2711,240,1062,1302,3285,342,51,1461,587,8990
1519,Travis Diener,18,0,102,4,20,2,14,2,6,2,8,0,6,6,16,8,0,0,4,12
1520,Travis Leslie,10,0,45,5,14,0,0,5,14,4,9,6,3,9,5,2,2,2,4,14
1521,Travis Outlaw,290,78,5827,758,1971,227,689,531,1282,341,439,192,665,857,237,120,118,200,397,2084
1522,Travis Wear,68,1,900,109,281,28,77,81,204,28,34,31,113,144,47,19,16,41,85,274
1523,Trayvon Palmer,1,0,17,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,2,0
1524,Tre Jones,174,77,3401,544,1160,58,214,486,946,236,282,93,328,421,720,139,16,169,189,1382
1525,Tre Mann,127,31,2550,428,1089,179,529,249,560,107,137,52,274,326,211,87,23,133,201,1142
1526,Tre Scott,2,0,11,3,6,0,1,3,5,0,0,1,1,2,0,1,1,0,2,6
1527,Tremont Waters,43,4,457,56,161,23,80,33,81,24,25,5,36,41,92,35,3,50,38,159
1528,Trendon Watford,110,22,2051,323,590,34,102,289,488,143,194,99,338,437,211,57,40,115,234,823
1529,Trent Forrest,113,9,1344,133,286,10,55,123,231,59,70,39,141,180,189,46,12,84,82,335
1530,Trenton Hassell,52,31,1106,90,219,0,5,90,214,52,69,56,96,152,50,17,9,47,91,232
1531,Trevelin Queen,17,0,144,22,62,11,39,11,23,9,9,15,18,33,10,7,6,14,10,64
1532,Treveon Graham,235,64,3812,353,936,153,480,200,456,141,208,172,378,550,189,100,22,105,399,1000
1533,Trevon Duval,3,0,6,2,3,1,1,1,2,0,0,0,1,1,2,0,0,0,0,5
1534,Trevor Ariza,929,807,30591,3763,9146,1757,4986,2006,4160,1437,1872,759,4045,4804,2322,1434,308,1306,1851,10720
1535,Trevor Booker,600,169,12030,1725,3346,83,279,1642,3067,574,892,1146,2104,3250,648,383,298,599,1182,4107
1536,Trevor Hudgins,5,0,28,2,9,2,8,0,1,3,3,0,0,0,3,0,0,1,1,9
1537,Trevor Keels,3,0,8,1,4,1,4,0,0,0,0,0,2,2,0,0,0,0,0,3
1538,Trey Burke,589,139,12046,2177,5257,652,1871,1525,3386,660,812,208,819,1027,1764,323,61,625,732,5666
1539,Trey Gilder,2,0,5,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,2
1540,Trey Johnson,27,0,249,32,80,2,6,30,74,23,25,7,19,26,26,3,2,15,34,89
1541,Trey Lyles,598,149,11000,1734,3885,548,1616,1186,2269,835,1098,532,2100,2632,631,231,219,513,869,4851
1542,Trey McKinney-Jones,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1543,Trey Murphy III,141,66,3312,496,1077,273,683,223,394,217,241,106,322,428,150,112,50,77,215,1482
1544,Trey Thompkins,24,0,119,24,61,4,13,20,48,5,7,4,20,24,3,3,3,6,10,57
1545,Tristan Thompson,787,484,20452,2795,5384,11,41,2784,5343,1335,2223,2524,3884,6408,759,387,522,870,1753,6936
1546,Troy Brown Jr.,331,84,6475,802,1867,281,802,521,1065,225,293,252,997,1249,477,221,45,226,468,2110
1547,Troy Caupain,4,0,16,4,8,2,3,2,5,0,0,1,2,3,4,1,0,0,0,10
1548,Troy Daniels,433,20,5974,900,2265,644,1654,256,611,164,208,94,437,531,224,117,25,219,506,2608
1549,Troy Murphy,215,78,4488,567,1273,177,501,390,772,210,273,220,983,1203,254,127,62,173,396,1521
1550,Troy Williams,123,34,2040,292,650,72,244,220,406,91,139,86,237,323,93,104,36,111,225,747
1551,Ty Jerome,157,7,2733,408,970,174,494,234,476,114,138,43,250,293,408,88,19,132,227,1104
1552,Ty Lawson,617,357,17499,2635,5778,509,1427,2126,4351,1571,2050,377,1249,1626,3553,689,59,1254,985,7350
1553,Ty-Shon Alexander,15,0,47,3,12,2,9,1,3,1,2,2,8,10,6,0,1,3,2,9
1554,TyTy Washington Jr.,31,2,433,58,160,19,80,39,80,10,18,2,43,45,47,15,2,14,29,145
1555,Tyler Bey,18,0,71,7,22,1,4,6,18,3,5,8,11,19,3,0,1,3,6,18
1556,Tyler Cavanaugh,50,1,557,70,162,33,94,37,68,19,23,48,87,135,28,9,4,15,64,192
1557,Tyler Cook,110,4,1184,177,268,2,4,175,264,69,118,84,187,271,39,26,8,55,108,425
1558,Tyler Davis,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1559,Tyler Dorsey,155,27,2378,362,915,161,465,201,450,121,185,72,286,358,191,45,9,91,169,1006
1560,Tyler Ennis,272,24,3335,462,1115,105,321,357,794,99,127,64,266,330,518,141,25,258,327,1128
1561,Tyler Hall,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1562,Tyler Hansbrough,428,50,7233,947,2156,3,22,944,2134,984,1333,745,1063,1808,181,207,91,319,869,2881
1563,Tyler Herro,242,100,7631,1565,3561,601,1571,964,1990,541,618,100,1081,1181,848,164,50,520,343,4272
1564,Tyler Honeycutt,24,0,120,11,35,1,5,10,30,5,7,6,18,24,9,4,4,7,5,28
1565,Tyler Johnson,456,107,11038,1566,3720,571,1609,995,2111,676,869,242,1088,1330,1060,361,179,481,799,4379
1566,Tyler Lydon,26,0,96,9,18,4,10,5,8,1,3,7,11,18,6,2,0,4,10,23
1567,Tyler Ulis,133,58,2782,398,988,63,225,335,763,139,172,44,179,223,537,118,12,204,193,998
1568,Tyler Zeller,486,201,8456,1364,2648,20,64,1344,2584,612,805,758,1391,2149,418,120,279,399,1043,3360
1569,Tyreke Evans,634,432,19030,3660,8348,542,1666,3118,6682,1896,2507,513,2344,2857,2976,769,231,1550,1368,9758
1570,Tyrell Terry,13,0,59,6,17,0,7,6,10,1,3,0,6,6,6,5,0,2,3,13
1571,Tyrese Haliburton,268,230,9018,1564,3278,604,1476,960,1802,543,637,194,806,1000,2150,436,151,631,394,4275
1572,Tyrese Martin,16,0,66,9,23,1,7,8,16,2,2,5,7,12,2,1,0,2,2,21
1573,Tyrese Maxey,196,123,5601,1120,2337,323,781,797,1556,454,529,60,460,520,653,130,53,209,367,3017
1574,Tyrone Wallace,112,19,1714,223,528,17,82,206,446,103,157,44,192,236,127,58,22,94,192,566
1575,Tyrus Thomas,231,40,4681,713,1635,4,20,709,1615,438,602,292,862,1154,196,206,311,319,566,1868
1576,Tyshawn Taylor,61,3,491,63,178,9,25,54,153,39,57,5,28,33,57,25,1,56,54,174
1577,Tyson Chandler,678,528,17431,1948,3059,0,6,1948,3053,1373,2012,1925,4008,5933,536,362,602,853,1695,5269
1578,Tyus Jones,535,94,10317,1401,3215,420,1176,981,2039,408,501,131,868,999,2108,527,39,400,410,3630
1579,Udoka Azubuike,68,10,611,100,130,0,0,100,130,21,41,53,150,203,11,8,30,33,68,221
1580,Udonis Haslem,440,115,7910,895,1916,9,58,886,1858,383,517,556,1687,2243,229,147,101,284,811,2182
1581,Usman Garuba,99,3,1210,105,221,29,79,76,142,34,54,141,249,390,81,54,40,53,163,273
1582,Vander Blue,10,1,134,12,39,2,13,10,26,4,12,2,11,13,12,4,0,11,7,30
1583,Vernon Carey Jr.,44,6,231,34,70,1,7,33,63,23,39,25,37,62,5,7,9,13,26,92
1584,Vernon Macklin,23,0,135,19,35,0,0,19,35,8,14,14,20,34,5,4,4,3,9,46
1585,Viacheslav Kravtsov,45,0,283,41,61,0,0,41,61,15,45,33,29,62,10,5,10,20,39,97
1586,Vic Law,8,0,62,6,18,1,7,5,11,2,6,2,9,11,3,2,0,2,6,15
1587,Victor Claver,80,16,1072,100,251,34,116,66,135,24,41,43,135,178,56,30,16,58,103,258
1588,Victor Oladipo,537,430,17327,3353,7728,892,2588,2461,5140,1557,1981,301,2104,2405,2121,851,244,1349,1283,9155
1589,Vince Carter,837,276,19147,3015,7299,1214,3321,1801,3978,1252,1574,459,2179,2638,1545,628,306,829,1837,8496
1590,Vince Edwards,2,0,16,1,4,1,4,0,0,0,0,1,1,2,0,0,0,0,0,3
1591,Vince Hunter,4,0,7,3,5,0,0,3,5,0,0,2,1,3,0,0,1,1,0,6
1592,Vince Williams Jr.,15,1,105,12,40,4,28,8,12,2,2,4,11,15,4,6,2,5,12,30
1593,Vincent Poirier,32,0,169,20,48,1,3,19,45,8,13,19,38,57,10,2,12,12,33,49
1594,Vit Krejci,59,8,855,83,204,37,119,46,85,20,24,24,103,127,74,24,9,34,82,223
1595,Vladimir Radmanović,230,49,3850,430,1104,185,551,245,553,94,120,210,529,739,231,131,77,187,442,1139
1596,Vlatko Čančar,130,11,1391,170,355,60,166,110,189,61,72,48,171,219,114,36,20,63,127,461
1597,Von Wafer,91,3,1022,138,316,32,106,106,210,70,92,13,81,94,64,28,8,55,65,378
1598,Vítor Luiz Faverani,37,8,488,64,147,12,40,52,107,24,37,42,86,128,16,14,27,41,74,164
1599,Wade Baldwin,56,1,579,60,169,9,36,51,133,45,58,14,55,69,78,21,10,57,63,174
1600,Walker Kessler,74,40,1703,298,414,1,3,297,411,82,159,231,389,620,69,26,173,58,169,679
1601,Walker Russell,28,0,357,33,95,4,13,29,82,14,22,7,19,26,58,18,1,33,29,84
1602,Walt Lemon Jr.,11,3,202,45,103,3,6,42,97,10,14,4,25,29,35,11,2,14,19,103
1603,Wayne Ellington,901,265,19058,2643,6427,1446,3787,1197,2640,617,729,277,1639,1916,1028,511,75,605,1057,7349
1604,Wayne Selden,216,45,4061,559,1355,174,528,385,827,208,291,92,357,449,311,96,33,236,358,1500
1605,Wendell Carter Jr.,314,290,8658,1504,2925,192,602,1312,2323,750,1024,749,1994,2743,640,195,254,516,934,3950
1606,Wendell Moore Jr.,29,2,153,18,43,2,17,16,26,4,5,4,14,18,18,8,5,8,13,42
1607,Wenyen Gabriel,201,14,2452,329,636,51,164,278,472,143,229,256,382,638,91,67,79,125,390,852
1608,Wes Iwundu,267,55,4366,379,947,79,294,300,653,251,313,130,515,645,226,117,55,139,390,1088
1609,Wesley Johnson,647,347,14006,1674,4156,639,1899,1035,2257,376,509,349,1647,1996,668,482,414,543,1231,4363
1610,Wesley Matthews,1019,821,30257,4067,9724,1971,5248,2096,4476,1835,2229,521,2353,2874,1980,963,210,1154,2116,11940
1611,Will Barton,793,288,19092,3112,7278,982,2781,2130,4497,1195,1518,512,2579,3091,2010,580,304,1057,1176,8401
1612,Will Bynum,288,28,5646,940,2135,79,281,861,1854,498,620,103,371,474,1009,215,27,488,575,2457
1613,Will Cherry,8,0,69,5,19,2,9,3,10,3,6,1,4,5,8,6,1,4,10,15
1614,Will Conroy,9,0,56,3,19,0,6,3,13,1,4,1,3,4,7,0,0,4,6,7
1615,Will Magnay,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1616,William Howard,2,0,13,0,4,0,4,0,0,0,0,0,2,2,1,0,0,1,1,0
1617,Willie Cauley-Stein,496,297,10556,1743,3190,7,35,1736,3155,606,991,791,2034,2825,678,405,399,431,1114,4099
1618,Willie Green,382,104,7157,1069,2440,305,812,764,1628,300,370,100,524,624,439,168,58,280,625,2743
1619,Willie Reed,194,17,2313,400,660,3,8,397,652,143,253,248,448,696,56,42,121,85,296,946
1620,Willie Warren,19,0,134,13,35,5,15,8,20,6,8,1,11,12,27,6,0,8,16,37
1621,Willy Hernangómez,392,49,5644,1065,1991,42,133,1023,1858,598,846,770,1395,2165,397,163,150,382,637,2770
1622,Wilson Chandler,682,479,20445,3252,7312,933,2694,2319,4618,992,1280,760,2865,3625,1204,457,438,915,1796,8429
1623,Xavier Cooks,10,1,126,17,28,0,1,17,27,4,10,16,22,38,6,6,4,8,13,38
1624,Xavier Henry,185,23,2905,368,907,41,126,327,781,273,430,81,270,351,120,100,23,139,264,1050
1625,Xavier Moon,14,0,157,28,60,6,17,22,43,3,5,2,15,17,29,7,3,7,11,65
1626,Xavier Munford,20,0,265,33,83,9,25,24,58,8,16,4,28,32,26,14,3,17,29,83
1627,Xavier Rathan-Mayes,5,0,118,12,42,1,14,11,28,4,9,0,5,5,18,6,3,11,18,29
1628,Xavier Silas,4,0,46,4,18,1,8,3,10,2,3,3,3,6,3,1,0,3,6,11
1629,Xavier Sneed,22,0,126,9,30,5,22,4,8,4,4,4,13,17,7,0,1,3,11,27
1630,Xavier Tillman Sr.,173,43,2966,453,821,36,129,417,692,129,213,261,463,724,233,151,77,123,276,1071
1631,Yakhouba Diawara,6,2,44,2,10,1,6,1,4,0,0,1,3,4,3,1,0,3,8,5
1632,Yante Maten,2,0,13,1,4,0,1,1,3,0,0,1,2,3,0,1,0,0,0,2
1633,Yao Ming*,5,5,91,18,37,0,0,18,37,15,16,7,20,27,4,0,8,7,13,51
1634,Yi Jianlian,145,62,2970,403,992,21,64,382,928,230,305,206,463,669,77,71,92,142,308,1057
1635,Yogi Ferrell,315,82,6545,903,2172,366,995,537,1177,340,408,95,572,667,795,216,41,292,457,2512
1636,Yuta Watanabe,179,9,2375,279,635,128,328,151,307,92,134,95,348,443,122,71,54,68,195,778
1637,Yves Pons,12,0,71,5,16,3,9,2,7,0,2,5,7,12,1,1,4,1,6,13
1638,Zabian Dowdell,24,0,292,51,125,3,10,48,115,16,17,5,15,20,51,20,2,29,30,121
1639,Zach Collins,245,42,4634,696,1460,151,441,545,1019,287,383,341,828,1169,380,97,174,323,609,1830
1640,Zach LaVine,555,468,17987,4057,8732,1235,3217,2822,5515,2030,2437,263,1958,2221,2187,492,163,1465,1198,11379
1641,Zach Lofton,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1642,Zach Norvell,10,0,82,6,24,6,16,0,8,2,2,0,12,12,6,4,0,6,8,20
1643,Zach Randolph,610,503,19436,4092,8597,114,433,3978,8164,1820,2400,1992,4017,6009,1212,471,164,1174,1424,10118
1644,Zavier Simpson,4,4,174,19,52,1,8,18,44,5,5,2,19,21,30,5,4,10,15,44
1645,Zaza Pachulia,676,354,13284,1516,3170,0,21,1516,3149,1141,1492,1437,2529,3966,1032,478,218,838,1584,4173
1646,Zeke Nnaji,136,7,1823,256,486,78,204,178,282,93,142,135,215,350,45,41,40,61,213,683
1647,Zhaire Smith,13,2,143,17,45,6,19,11,26,8,12,3,12,15,12,5,2,8,12,48
1648,Zhou Qi,19,0,125,7,33,2,19,5,14,8,12,6,16,22,2,2,14,10,14,24
1649,Ziaire Williams,99,35,1907,275,620,101,339,174,281,60,77,42,166,208,100,49,18,78,171,711
1650,Zion Williamson,114,114,3650,1129,1866,23,67,1106,1799,660,955,289,504,793,409,105,64,325,242,2941
1651,Zoran Dragić,32,2,150,22,60,6,28,16,32,6,10,10,6,16,10,4,0,10,12,56
1652,Zydrunas Ilgauskas,136,57,2484,356,757,11,24,345,733,111,147,222,410,632,74,37,108,115,368,834
1653,Zylan Cheatham,5,0,56,6,12,0,3,6,9,0,0,3,6,9,3,1,1,4,10,12
1654,Álex Abrines,174,16,2777,305,789,219,595,86,194,95,108,49,199,248,88,92,22,72,291,924
1655,Ángel Delgado,2,0,15,1,5,0,0,1,5,1,2,2,2,4,0,1,0,0,2,3
1656,Ömer Aşık,489,262,9398,956,1817,0,1,956,1816,589,1075,1045,2364,3409,283,169,343,551,948,2501
