,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
1297,R.J. Hunter,45,1,395,49,132,26,88,23,44,9,11,3,43,46,19,18,4,13,39,133
1298,RJ Barrett,271,270,9107,1756,4157,446,1300,1310,2857,942,1328,244,1225,1469,769,182,68,578,631,4900
1299,RJ Nembhard Jr.,14,0,63,6,18,0,2,6,16,3,4,3,4,7,12,1,0,3,2,15
1300,Rafer Alston,104,76,2842,310,892,116,336,194,556,118,162,26,232,258,352,100,20,190,206,854
1301,RaiQuan Gray,1,0,35,6,12,2,5,4,7,2,2,3,6,9,7,0,1,4,5,16
1302,Raja Bell,114,106,3253,328,763,126,334,202,429,118,133,47,224,271,182,77,20,94,277,900
1303,Rajon Rondo,874,623,25278,3402,7630,517,1551,2885,6079,784,1320,764,3146,3910,7142,1270,110,2450,1698,8105
1304,Rakeem Christmas,30,0,225,21,45,0,0,21,45,21,29,27,30,57,4,3,6,8,38,63
1305,Ramon Sessions,834,155,18997,2749,6432,304,924,2445,5508,2505,3168,367,1745,2112,3181,508,56,1390,1050,8307
1306,Randolph Morris,28,0,124,23,41,0,0,23,41,16,27,10,28,38,2,5,3,12,34,62
1307,Randy Foye,642,337,15289,1976,5098,939,2626,1037,2472,831,974,173,1109,1282,1574,406,199,811,1228,5722
1308,Rashad Vaughn,167,8,1883,184,534,97,302,87,232,22,32,21,158,179,88,58,32,54,135,487
1309,Rashard Lewis,329,206,8509,1140,2675,455,1243,685,1432,384,487,281,957,1238,405,279,120,382,704,3119
1310,Rasheed Wallace,100,13,2076,321,792,104,359,217,433,110,145,53,355,408,86,93,85,73,262,856
1311,Rasho Nesterović,42,8,413,81,149,0,0,81,149,1,5,37,52,89,25,10,17,16,54,163
1312,Rasual Butler,381,85,7010,873,2208,390,1127,483,1081,237,308,101,653,754,293,108,157,209,373,2373
1313,Raul Neto,435,99,6765,935,2041,258,714,677,1327,342,421,96,562,658,913,279,34,398,569,2470
1314,Rawle Alkins,10,1,120,13,39,3,12,10,27,8,12,11,15,26,13,1,0,8,7,37
1315,Ray Allen*,358,211,11245,1702,3638,674,1652,1028,1986,766,852,173,918,1091,816,311,72,501,656,4844
1316,Ray McCallum,195,52,3283,429,1062,86,254,343,808,113,157,86,267,353,428,91,34,172,219,1057
1317,Ray Spalding,30,6,315,52,98,0,7,52,91,8,26,32,68,100,10,18,18,21,49,112
1318,Rayjon Tucker,44,0,371,41,79,13,34,28,45,43,56,10,37,47,31,11,1,14,28,138
1319,Raymond Felton,727,424,20270,2940,6977,726,2152,2214,4825,1068,1341,381,1677,2058,3594,827,158,1376,1284,7674
1320,Reggie Bullock,611,356,14356,1676,3977,1015,2656,661,1321,356,429,205,1396,1601,769,356,92,364,882,4723
1321,Reggie Evans,349,122,6409,435,942,0,3,435,939,428,798,836,1740,2576,180,244,40,377,779,1298
1322,Reggie Hearn,3,0,7,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
1323,Reggie Jackson,947,602,24326,4514,10676,1269,3711,3245,6965,1759,2056,490,2339,2829,4074,655,114,1792,1834,12056
1324,Reggie Perry,46,2,585,112,236,10,53,102,183,28,43,57,110,167,38,24,18,37,106,262
1325,Reggie Williams,206,32,3736,599,1313,199,545,400,768,201,268,105,388,493,301,88,13,142,241,1598
1326,Renaldo Balkman,43,1,330,34,76,4,20,30,56,16,25,14,49,63,16,20,9,14,60,88
1327,Richard Hamilton,179,158,4835,925,2173,129,380,796,1793,445,527,90,307,397,576,105,13,336,359,2424
1328,Richard Jefferson,673,354,15603,1880,4189,753,1899,1127,2290,855,1183,257,1681,1938,815,320,169,567,1205,5368
1329,Richaun Holmes,418,161,8271,1543,2548,48,176,1495,2372,601,805,721,1526,2247,412,223,407,361,1079,3735
1330,Ricky Davis,36,2,499,62,143,16,42,46,101,18,31,10,47,57,39,11,3,29,39,158
1331,Ricky Ledo,45,0,521,70,209,23,62,47,147,36,48,32,42,74,40,13,2,54,44,199
1332,Ricky Rubio,698,603,20694,2468,6364,637,1969,1831,4395,1997,2370,428,2402,2830,5160,1226,94,1768,1738,7570
1333,Rob Edwards,2,0,11,1,4,1,4,0,0,0,0,0,3,3,0,0,0,1,0,3
1334,Robbie Hummel,98,9,1397,146,349,48,140,98,209,39,45,66,200,266,50,32,11,28,143,379
1335,Robert Covington,761,605,22125,2862,6954,1618,4481,1244,2473,1107,1370,671,3664,4335,1086,1191,791,1075,2218,8449
1336,Robert Franks,7,0,101,13,28,5,15,8,13,12,13,6,8,14,5,3,3,2,8,43
1337,Robert Sacre,189,35,2745,318,729,0,1,318,728,151,225,212,381,593,126,56,110,102,336,787
1338,Robert Williams,209,97,4284,684,935,0,4,684,931,166,253,542,905,1447,299,152,348,180,397,1534
1339,Robert Woodard II,25,0,87,10,36,2,10,8,26,5,10,9,18,27,5,1,4,2,7,27
1340,Robin Lopez,916,598,20258,3406,6332,55,183,3351,6149,1252,1681,2092,2445,4537,807,207,1001,1033,1754,8119
1341,Rodions Kurucs,152,55,2228,303,690,103,316,200,374,102,138,91,338,429,123,84,38,149,268,811
1342,Rodney Carney,122,2,1529,205,502,75,211,130,291,88,117,52,181,233,59,49,30,53,145,573
1343,Rodney Hood,687,330,16137,2454,5862,922,2543,1532,3319,922,1084,243,1419,1662,1048,444,117,598,1211,6752
1344,Rodney McGruder,317,132,6158,681,1622,301,836,380,786,162,241,253,632,885,381,161,50,190,459,1825
1345,Rodney Purvis,16,2,290,35,107,13,52,22,55,13,15,1,26,27,17,3,3,10,26,96
1346,Rodney Stuckey,515,235,14292,2350,5575,250,827,2100,4748,1741,2105,318,1190,1508,1786,441,77,930,1016,6691
1347,Rodrigue Beaubois,182,54,2896,502,1143,129,397,373,746,153,189,47,291,338,374,124,52,204,312,1286
1348,Roger Mason,251,20,4010,479,1203,246,669,233,534,101,121,35,393,428,297,81,33,157,287,1305
1349,Roko Ukić,13,0,97,14,30,3,12,11,18,9,11,0,3,3,12,1,0,6,6,40
1350,Romeo Langford,189,37,3039,336,780,84,276,252,504,112,177,144,262,406,118,82,58,83,218,868
1351,Ron Baker,111,14,1546,110,316,36,145,74,171,58,81,19,131,150,184,72,16,84,143,314
1352,Ron Harper Jr.,9,0,48,8,16,3,9,5,7,1,1,3,4,7,4,0,1,0,3,20
1353,Ronald Dupree,3,0,13,1,4,0,1,1,3,0,0,0,3,3,1,0,0,0,2,2
1354,Ronald Murray,150,4,3346,536,1366,138,442,398,924,282,388,56,310,366,270,92,32,182,252,1492
1355,Rondae Hollis-Jefferson,305,154,6759,1004,2238,44,208,960,2030,708,963,440,1244,1684,579,278,162,392,620,2760
1356,Ronnie Brewer,431,224,8926,959,2156,89,326,870,1830,345,581,305,870,1175,705,458,87,260,380,2352
1357,Ronnie Price,344,52,5254,485,1343,172,580,313,763,186,250,136,321,457,715,319,44,342,691,1328
1358,Ronny Turiaf,238,61,3897,339,579,0,3,339,576,168,333,258,607,865,263,113,246,171,481,846
1359,Roy Hibbert,640,557,16062,2504,5368,6,24,2498,5344,1324,1730,1466,2616,4082,857,229,1116,1015,1952,6338
1360,Royal Ivey,202,5,1864,174,423,90,228,84,195,30,50,31,135,166,103,81,8,56,205,468
1361,Royce O'Neale,446,283,11926,1048,2423,591,1541,457,882,269,344,281,1866,2147,1054,357,185,462,1083,2956
1362,Royce White,3,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
1363,Rudy Fernández,171,6,3972,472,1223,254,749,218,474,241,287,81,320,401,395,180,28,200,258,1439
