,overall,team.name,team.market,team.alias,prospect.first_name,prospect.last_name,prospect.name,prospect.position,prospect.height,prospect.weight,prospect.experience,prospect.team_name
183,4,Kings,Sacramento,SAC,Keegan,Murray,Keegan Murray,F,80,225,SO,NONE
184,5,Pistons,Detroit,DET,Jaden,Ivey,Jaden Ivey,G,76,195,SO,Purdue
185,6,Pacers,Indiana,IND,Bennedict,Mathurin,Bennedict Mathurin,G-F,78,210,SO,Arizona
186,7,Trail Blazers,Portland,POR,Shaedon,Sharpe,Shaedon Sharpe,G,78,200,FR,Kentucky
187,8,Pelicans,New Orleans,NOP,Dyson,Daniels,Dyson Daniels,G,80,200,NONE,G League Ignite
188,9,Spurs,San Antonio,SAS,Jeremy,Sochan,Jeremy Sochan,F,81,230,FR,Baylor
189,10,Wizards,Washington,WAS,Johnny,Davis,Johnny Davis,G,77,194,SO,Wisconsin
190,11,Thunder,Oklahoma City,OKC,Ousmane,Dieng,Ousmane Dieng,F,81,216,NONE,Breakers
191,12,Thunder,Oklahoma City,OKC,Jalen,Williams,Jalen Williams,G,78,190,JR,NONE
192,13,Pistons,Detroit,DET,Jalen,Duren,Jalen Duren,C,83,250,FR,Memphis
193,14,Cavaliers,Cleveland,CLE,Ochai,Agbaji,Ochai Agbaji,G,77,215,SR,Kansas
194,15,Hornets,Charlotte,CHA,Mark,Williams,Mark Williams,C,85,242,SO,Duke
195,16,Hawks,Atlanta,ATL,AJ,Griffin,AJ Griffin,F,78,222,FR,Duke
196,17,Rockets,Houston,HOU,Tari,Eason,Tari Eason,F,80,216,SO,LSU
197,18,Bulls,Chicago,CHI,Dalen,Terry,Dalen Terry,G,79,195,SO,NONE
198,19,Grizzlies,Memphis,MEM,Jake,LaRavia,Jake LaRavia,G-F,80,235,JR,NONE
199,20,Spurs,San Antonio,SAS,Malaki,Branham,Malaki Branham,G,77,180,FR,Ohio State
200,21,Nuggets,Denver,DEN,Christian,Braun,Christian Braun,G,79,218,JR,NONE
201,22,Timberwolves,Minnesota,MIN,Walker,Kessler,Walker Kessler,F-C,85,245,SO,NONE
202,23,Grizzlies,Memphis,MEM,David,Roddy,David Roddy,G-F,78,255,JR,NONE
203,24,Bucks,Milwaukee,MIL,MarJon,Beauchamp,MarJon Beauchamp,G,78,199,NONE,G League Ignite
204,25,Spurs,San Antonio,SAS,Blake,Wesley,Blake Wesley,G,77,185,FR,NONE
205,26,Timberwolves,Minnesota,MIN,Wendell,Moore,Wendell Moore Jr.,F,77,213,JR,NONE
206,27,Heat,Miami,MIA,Nikola,Jovic,Nikola Jovic,F,82,223,NONE,Mega
207,28,Warriors,Golden State,GSW,Patrick,Baldwin,Patrick Baldwin Jr.,G,81,220,FR,Milwaukee
208,29,Rockets,Houston,HOU,TyTy,Washington,TyTy Washington Jr.,G,75,197,FR,Kentucky
209,30,Nuggets,Denver,DEN,Peyton,Watson,Peyton Watson,G,80,200,FR,NONE
210,31,Pacers,Indiana,IND,Andrew,Nembhard,Andrew Nembhard,G,77,193,SR,NONE
211,32,Magic,Orlando,ORL,Caleb,Houstan,Caleb Houstan,G-F,80,205,FR,NONE
212,33,Raptors,Toronto,TOR,Christian,Koloko,Christian Koloko,C,85,230,JR,NONE
