,overall,team.name,team.market,team.alias,prospect.first_name,prospect.last_name,prospect.name,prospect.position,prospect.height,prospect.weight,prospect.experience,prospect.team_name
273,36,Bucks,Milwaukee,MIL,Andre,Jackson,Andre Jackson Jr.,G,78,210,JR,NONE
274,37,Nuggets,Denver,DEN,Hunter,Tyson,Hunter Tyson,F,80,215,GR,NONE
275,38,Celtics,Boston,BOS,Jordan,Walsh,Jordan Walsh,G-F,79,205,FR,NONE
276,39,Hawks,Atlanta,ATL,Mouhamed,Gueye,Mouhamed Gueye,F,83,210,SO,NONE
277,40,Lakers,Los Angeles,LAL,Maxwell,Lewis,Maxwell Lewis,F,79,195,SO,NONE
278,41,Hornets,Charlotte,CHA,Amari,Bailey,Amari Bailey,G,77,185,FR,NONE
279,42,Wizards,Washington,WAS,Tristan,Vukcevic,Tristan Vukcevic,C,84,223,NONE,KK Partizan
280,43,Trail Blazers,Portland,POR,Rayan,Rupert,Rayan Rupert,G,78,205,NONE,Breakers
281,44,Spurs,San Antonio,SAS,Sidy,Cissoko,Sidy Cissoko,G,80,200,NONE,G League Ignite
282,45,Grizzlies,Memphis,MEM,Gregory,Jackson,Gregory Jackson II,F,81,215,FR,NONE
283,46,Hawks,Atlanta,ATL,Seth,Lundy,Seth Lundy,G-F,78,220,SR,NONE
284,47,Pacers,Indiana,IND,Mojave,King,Mojave King,G,77,194,NONE,G League Ignite
285,48,Clippers,LA,LAC,Jordan,Miller,Jordan Miller,G,79,195,SR,NONE
286,49,Cavaliers,Cleveland,CLE,Emoni,Bates,Emoni Bates,F,82,190,SO,NONE
287,50,Thunder,Oklahoma City,OKC,Keyontae,Johnson,Keyontae Johnson,F,78,230,SR,NONE
288,51,Nets,Brooklyn,BKN,Jalen,Wilson,Jalen Wilson,F,80,225,JR,NONE
289,52,Suns,Phoenix,PHX,Toumani,Camara,Toumani Camara,F,80,220,JR,NONE
290,53,Timberwolves,Minnesota,MIN,Jaylen,Clark,Jaylen Clark,G,77,205,JR,NONE
291,54,Kings,Sacramento,SAC,Jalen,Slawson,Jalen Slawson,F,79,215,SR,NONE
292,55,Pacers,Indiana,IND,Isaiah,Wong,Isaiah Wong,G,76,184,JR,NONE
293,56,Grizzlies,Memphis,MEM,Tarik,Biberovic,Tarik Biberovic,F,79,216,NONE,NONE
294,57,Warriors,Golden State,GSW,Trayce,Jackson-Davis,Trayce Jackson-Davis,F,81,245,JR,NONE
295,58,Bucks,Milwaukee,MIL,Chris,Livingston,Chris Livingston,F,78,220,FR,NONE
